playerID,career_w,career_l,career_g,career_gs,career_cg,career_sho,career_sv,career_ipouts,career_h,career_er,career_hr_a,career_bb,career_so,seasons,debut_year,last_year,career_ip,peak_ip,peak_gs,peak_g,peak_sv,peak_so,peak_bb,peak_hr_a,peak_er,peak_h,peak_w,peak_l,peak_war,peak_year,peak_year_display,mean_sp_dedication,total_seasons_in_peak,career_war,role,nameFirst,nameLast,bbrefID,full_name,era_label,norm_era,h9_raw,k9_raw,bb9_raw,hr9_raw,ip_per_year_raw,h9_val,k9_val,bb9_val,hr9_val,sta_val,raw_ovr,ovr,rarity,str_val,ctl_val,mov_val,grt_val
nunezvl01,21,34,254,27,0,0,21,1326,430,237,55.0,199,327,9,1998,2009,442.0,222.33333333333334,3,152,20,161,86,17.0,79,191,11,12,3.3699999999999997,2001,2001,0.019230769230769232,3,-0.3800000000000002,RP,Vladimir,Nunez,nunezvl01,Vladimir Nunez,Steroid Era (1994-2005),Steroid Era (1994-2005),8.095501183898973,6.035516969218627,3.3480662983425415,0.7884767166535122,74.11111111111111,64.3,47.8,48.1,65.4,37.1,52.540000000000006,65.6,Uncommon,47.8,48.1,65.4,64.3
nunovi01,8,21,155,42,0,0,0,1131,377,170,65.0,105,312,6,2013,2018,377.0,122.0,10,52,0,110,32,20.0,43,114,4,5,4.11,2015,2015,0.10416666666666667,3,5.54,RP,Vidal,Nuno,nunovi01,Vidal Nuno,Efficiency Era (2006-2015),Efficiency Era (2006-2015),8.465838509316772,6.490683229813664,2.8819875776397517,1.1180124223602483,40.666666666666664,40.8,50.8,65.0,11.9,23.1,38.32,57.0,Common,50.8,65.0,11.9,40.8
nuxhajo01,135,117,526,287,83,20,19,6908,2310,998,209.0,776,1372,16,1944,1966,2302.6666666666665,641.0,76,120,5,352,176,50.0,234,622,44,25,11.94,1958,1963,0.6295238095238096,3,28.48,SP,Joe,Nuxhall,nuxhajo01,Joe Nuxhall,Integration (1942-1960),Integration (1942-1960),8.677764565992867,5.0749108204518425,2.6444708680142686,0.7491082045184304,213.66666666666666,38.8,55.6,79.8,49.9,88.8,62.58000000000001,76.5,Rare,55.6,79.8,49.9,38.8
oberba01,31,30,115,115,2,0,0,1853,560,280,103.0,133,604,5,2021,2025,617.6666666666666,415.3333333333333,77,77,0,433,91,69.0,177,353,23,18,7.140000000000001,2023,2023,1.0,3,9.16,SP,Bailey,Ober,oberba01,Bailey Ober,Modern Era (2016-Pres),Modern Era (2016-Pres),7.925785482123512,8.12080173347779,2.371072589382449,1.3017334777898162,138.44444444444443,57.0,74.1,86.3,5.0,63.4,57.160000000000004,71.1,Rare,74.1,86.3,5.0,57.0
obergsc01,18,8,259,0,0,0,7,772,238,110,26.0,101,234,5,2015,2019,257.3333333333333,173.0,0,171,5,170,59,13.0,62,154,14,3,4.66,2017,2018,0.0,3,4.630000000000001,RP,Scott,Oberg,obergsc01,Scott Oberg,Modern Era (2016-Pres),Modern Era (2016-Pres),8.273458445040216,7.050938337801609,3.1394101876675604,0.7962466487935658,57.666666666666664,41.1,52.6,51.5,66.1,28.8,48.02,60.0,Uncommon,52.6,51.5,66.1,41.1
obriebu01,29,25,64,54,36,4,0,1296,391,126,3.0,159,204,3,1911,1913,432.0,413.6666666666667,51,58,0,200,146,3.0,118,370,29,23,7.72,1912,1912,0.8507507507507507,3,7.96,SP,Buck,O'Brien,o'bribu01,Buck O'Brien,Deadball (1901-1919),Deadball (1901-1919),8.196632265073328,4.725692558392177,3.1841390548614883,0.3373166757197175,137.88888888888889,52.0,57.6,38.1,70.2,63.2,56.220000000000006,70.2,Rare,57.6,38.1,70.2,52.0
obrieda02,59,65,136,126,113,2,2,3242,1119,442,36.0,486,398,4,1888,1891,1080.6666666666667,812.0,96,96,0,311,359,23.0,333,819,41,52,6.109999999999999,1890,1889,1.0,3,4.42,SP,Cinders,O'Brien,o'brida02,Cinders O'Brien,The Genesis Era (1871-1900),"The Genesis Era (1871-1892, 45-50ft)",8.963438735177867,3.852766798418972,3.825098814229249,0.38241106719367585,270.6666666666667,34.0,31.3,5.0,56.8,101.8,45.78,59.2,Common,31.3,5.0,56.8,34.0
odayda01,42,21,644,0,0,0,21,1827,458,175,64.0,172,637,15,2008,2022,609.0,194.33333333333331,0,209,6,196,40,16.0,42,139,19,5,7.58,2012,2015,0.0,3,19.75,RP,Darren,O'Day,odayda01,Darren O'Day,Efficiency Era (2006-2015),Efficiency Era (2006-2015),7.483516483516485,7.262890955198648,2.53592561284869,0.8216398985629755,64.77777777777777,84.8,67.4,80.5,56.4,32.4,64.30000000000001,78.2,Rare,67.4,80.5,56.4,84.8
odayha01,73,110,201,192,177,5,4,4954,1655,687,65.0,578,663,7,1884,1890,1651.3333333333333,781.0,87,95,3,327,295,31.0,302,755,40,44,9.03,1888,1888,0.937984496124031,3,9.35,SP,Hank,O'Day,o'dayha01,Hank O'Day,The Genesis Era (1871-1900),"The Genesis Era (1871-1892, 45-50ft)",8.659531090723751,4.121304791029561,3.3588175331294594,0.4678899082568807,260.3333333333333,47.1,39.7,7.2,29.3,99.6,44.58,58.9,Common,39.7,7.2,29.3,47.1
odellbi01,105,100,479,199,63,13,48,5451,1697,665,137.0,556,1133,13,1954,1967,1817.0,532.0,50,141,27,303,148,41.0,165,451,34,29,10.52,1962,1958,0.4191546923958203,3,24.82,RP,Billy,O'Dell,o'delbi01,Billy O'Dell,Expansion (1961-1976),Expansion (1961-1976),7.867486338797814,5.228142076502733,2.6939890710382515,0.75,177.33333333333334,64.9,39.5,73.5,56.4,78.7,62.60000000000001,76.5,Rare,39.5,73.5,56.4,64.9
