playerID,name,pos
lefloro01,Ron LeFlore,CF
millira01,Randy Milligan,1B
devermi01,Mike Devereaux,CF
knighra01,Ray Knight,3B
templga01,Garry Templeton,SS
iviemi01,Mike Ivie,1B
sundbji01,Jim Sundberg,C
bradlph01,Phil Bradley,LF
harpebr01,Brian Harper,C
parrila01,Larry Parrish,3B
grubeke01,Kelly Gruber,3B
roberle01,Leon Roberts,RF
wilsomo01,Mookie Wilson,CF
jacksbo01,Bo Jackson,LF
armasto01,Tony Armas,RF
smallro02,Roy Smalley,SS
walkegr01,Greg Walker,1B
fletcsc01,Scott Fletcher,SS
thomago01,Gorman Thomas,CF
velezot01,Otto Velez,DH
hallme01,Mel Hall,LF
pagemi02,Mitchell Page,DH
samplbi01,Billy Sample,LF
morriji01,Jim Morrison,3B
milneed01,Eddie Milner,CF
thompro01,Robby Thompson,2B
penato01,Tony Peña,C
bosleth01,Thad Bosley,LF
bowala01,Larry Bowa,SS
crowlte01,Terry Crowley,DH
gladdda01,Dan Gladden,LF
stearjo01,John Stearns,C
brockgr01,Greg Brock,1B
hendest01,Steve Henderson,LF
bergmda01,Dave Bergman,1B
jacksda03,Darrin Jackson,CF
perryge01,Gerald Perry,1B
johnsla02,Lamar Johnson,1B
josefe01,Felix Jose,RF
reynoha01,Harold Reynolds,2B
youngjo02,Joel Youngblood,RF
morelke01,Keith Moreland,RF
clarkda05,Dave Clark,LF
sandede02,Deion Sanders,CF
bushra01,Randy Bush,RF
dilonmi01,Miguel Dilone,LF
thondi01,Dickie Thon,SS
brownje01,Jerry Browne,2B
herrto01,Tom Herr,2B
orsuljo01,Joe Orsulak,RF
brookhu01,Hubie Brooks,SS
fordda01,Dan Ford,RF
kingemi01,Mike Kingery,CF
nokesma01,Matt Nokes,C
hatchbi01,Billy Hatcher,CF
wynegbu01,Butch Wynegar,C
castijo01,John Castino,3B
dernibo01,Bob Dernier,CF
lawru01,Rudy Law,CF
maldoca01,Candy Maldonado,RF
beniqju01,Juan Beniquez,CF
garcida01,Damaso Garcia,2B
barrema02,Marty Barrett,2B
bernato01,Tony Bernazard,2B
hatchmi01,Mickey Hatcher,LF
jamesdi01,Dion James,LF
gedmari01,Rich Gedman,C
sheetla01,Larry Sheets,DH
dunstsh01,Shawon Dunston,SS
jacobbr01,Brook Jacoby,3B
smithdw01,Dwight Smith,LF
brenlbo01,Bob Brenly,C
deerro01,Rob Deer,RF
dempsri01,Rick Dempsey,C
howear01,Art Howe,3B
bostoda01,Daryl Boston,CF
grosswa01,Wayne Gross,3B
macfami01,Mike Macfarlane,C
reedjo01,Jody Reed,2B
teufeti01,Tim Teufel,2B
guilloz01,Ozzie Guillen,SS
paglimi01,Mike Pagliarulo,3B
wilsogl01,Glenn Wilson,RF
bonneba01,Barry Bonnell,LF
gagnegr01,Greg Gagne,SS
ashbyal01,Alan Ashby,C
russebi01,Bill Russell,SS
willsbu01,Bump Wills,2B
aldremi01,Mike Aldrete,1B
treadje01,Jeff Treadway,2B
wathajo01,John Wathan,C
jordari02,Ricky Jordan,1B
sharpmi01,Mike Sharperson,3B
tablepa01,Pat Tabler,1B
trillma01,Manny Trillo,2B
incavpe01,Pete Incaviglia,LF
adamsgl01,Glenn Adams,DH
hairsje01,Jerry Hairston,LF
mcdowod01,Oddibe McDowell,CF
gantnji01,Jim Gantner,2B
reverda01,Dave Revering,1B
roystje01,Jerry Royster,3B
colesda01,Darnell Coles,3B
jamesch02,Chris James,LF
whitfte01,Terry Whitfield,LF
meyerda01,Dan Meyer,LF
moorech02,Charlie Moore,C
pasquda01,Dan Pasqua,LF
cabelen01,Enos Cabell,3B
davisjo02,Jody Davis,C
kennete02,Terry Kennedy,C
kittlro01,Ron Kittle,LF
pocorbi01,Biff Pocoroba,C
colemvi01,Vince Coleman,LF
martica01,Carmelo Martinez,LF
manniri01,Rick Manning,CF
backmwa01,Wally Backman,2B
coleal01,Alex Cole,CF
cruzju01,Julio Cruz,2B
diazbo01,Bo Diaz,C
plantph01,Phil Plantier,LF
turneje01,Jerry Turner,LF
woodsal01,Al Woods,LF
heepda01,Danny Heep,RF
oestero01,Ron Oester,2B
putnapa01,Pat Putnam,1B
castica01,Carmelo Castillo,RF
leachri01,Rick Leach,RF
maymi01,Milt May,C
engleda01,Dave Engle,C
esaskni01,Nick Esasky,1B
oquenjo01,Jose Oquendo,2B
owensp01,Spike Owen,SS
lavalmi01,Mike LaValliere,C
remyje01,Jerry Remy,2B
samueju01,Juan Samuel,2B
feldemi01,Mike Felder,LF
gallemi01,Mike Gallego,2B
jacksro02,Ron Jackson,1B
morenom01,Omar Moreno,CF
staplda01,Dave Stapleton,1B
