playerID,career_ab,career_h,career_2b,career_3b,career_hr,career_bb,career_so,career_sb,career_cs,career_hbp,career_sf,seasons,debut_year,last_year,total_seasons_in_peak,peak_ab,peak_h,peak_2b,peak_3b,peak_hr,peak_bb,peak_so,peak_sb,peak_cs,peak_hbp,peak_sf,peak_year,peak_year_display,peak_pa,peak_ba,peak_obp,peak_slg,peak_iso,peak_k_rate,peak_bb_rate,peak_xbh_rate,peak_hr_rate,peak_sb_eff,peak_sb_vol_log,peak_extra_base_f,ba,obp,slg,iso,k_rate,bb_rate,xbh_rate,hr_rate,sb_efficiency,sb_volume_log,extra_base_freq,sb_score,nameFirst,nameLast,bbrefID,bats,full_name,pos,ba_smoothed,contact_raw,power_raw,eye_raw,k_rate_clean,contact_val,power_val,eye_val,k_avoid_val,rfield_career,wardef_career,runs_br_peak,defense_base_raw,defense_val_base,gold_gloves,gg_bonus,defense_val,runs_br_norm,era_temp_col,speed_raw_temp,era_label,speed_val,raw_ovr,ovr,rarity
adamsgl01,1617,452,79,5,34,111,183.0,6.0,10.0,4.0,19.0,8,1975,1982,3,685,216,32,2,18,54,82.0,3.0,4.0,4.0,10.0,1978,1977,753.0,0.31532846715328466,0.36387782204515273,0.4467153284671533,0.13138686131386862,0.10889774236387782,0.07171314741035857,0.07591240875912408,0.026277372262773723,0.42857142857142855,1.3862943611198906,0.0072992700729927005,0.31532846715328466,0.36387782204515273,0.4467153284671533,0.13138686131386862,0.10889774236387782,0.07171314741035857,0.07591240875912408,0.026277372262773723,0.42857142857142855,1.3862943611198906,0.0072992700729927005,0.29782806373705756,Glenn,Adams,adamsgl01,L,Glenn Adams,CF,0.29537444933920703,1.0638853201469143,0.11324894514767932,0.07701516360734238,0.1332801276935355,65.4,44.5,32.7,60.9,-4.6,-2.86,-1.1300000000000001,-14.2,26.4,0,0,26.4,0.2561770419185593,Big Hair Era (1977-1993),0.2404499731742611,Big Hair Era (1977-1993),17.4,42.220000000000006,64.7,Uncommon
aikenwi01,2492,675,125,2,110,319,444.0,3.0,6.0,18.0,27.0,8,1977,1985,3,1138,323,60,1,61,168,201.0,1.0,3.0,6.0,12.0,1981,1979,1324.0,0.28383128295254834,0.37537764350453173,0.4991212653778559,0.21528998242530756,0.15181268882175228,0.1268882175226586,0.10720562390158173,0.05360281195079086,0.25,0.6931471805599453,0.0017574692442882249,0.28383128295254834,0.37537764350453173,0.4991212653778559,0.21528998242530756,0.15181268882175228,0.1268882175226586,0.10720562390158173,0.05360281195079086,0.25,0.6931471805599453,0.0017574692442882249,0.15962831758281448,Willie,Aikens,aikenwi01,L,Willie Aikens,1B,0.2784949622166247,1.003088461781208,0.14731379731379732,0.11540570175438597,0.15679824561403508,44.1,78.0,74.2,44.0,3.5,-1.85,-5.74,-5.300000000000001,34.3,0,0,34.3,0.04694733402320134,Big Hair Era (1977-1993),0.10078959379025694,Big Hair Era (1977-1993),5.0,49.75500000000001,71.2,Rare
aldremi01,2147,565,104,9,41,314,381.0,19.0,18.0,5.0,18.0,10,1986,1996,3,828,238,49,6,21,110,129.0,8.0,4.0,2.0,3.0,1990,1987,943.0,0.28743961352657005,0.3711558854718982,0.43719806763285024,0.1497584541062802,0.13679745493107104,0.11664899257688228,0.09178743961352658,0.025362318840579712,0.6666666666666666,2.1972245773362196,0.016908212560386472,0.28743961352657005,0.3711558854718982,0.43719806763285024,0.1497584541062802,0.13679745493107104,0.11664899257688228,0.09178743961352658,0.025362318840579712,0.6666666666666666,2.1972245773362196,0.016908212560386472,0.46826541973576374,Mike,Aldrete,aldremi01,L,Mike Aldrete,CF,0.2795383411580595,1.0068465239346076,0.1197289156626506,0.10568260568260568,0.1483021483021483,45.4,50.9,63.7,50.1,18.0,0.44,0.8899999999999999,12.559999999999999,50.2,0,0,50.2,0.3478568705408202,Big Hair Era (1977-1993),0.3781763959529968,Big Hair Era (1977-1993),34.2,48.56,70.4,Rare
almonbi01,3330,846,138,25,36,250,636.0,128.0,60.0,6.0,29.0,15,1974,1988,3,1206,331,45,13,12,80,235.0,46.0,22.0,3.0,6.0,1982,1981,1295.0,0.2744610281923715,0.3196911196911197,0.36318407960199006,0.08872305140961857,0.18146718146718147,0.06177606177606178,0.05804311774461028,0.009950248756218905,0.6764705882352942,3.8501476017100584,0.04892205638474295,0.2744610281923715,0.3196911196911197,0.36318407960199006,0.08872305140961857,0.18146718146718147,0.06177606177606178,0.05804311774461028,0.009950248756218905,0.6764705882352942,3.8501476017100584,0.04892205638474295,0.6730166858523242,Bill,Almon,almonbi01,R,Bill Almon,SS,0.2718900966183575,0.9792989310101484,0.08610785463071512,0.06824512534818941,0.17827298050139276,35.8,17.7,23.3,28.5,-9.0,1.15,3.19,-0.7999999999999998,38.3,0,0,38.3,0.45224479421963215,Big Hair Era (1977-1993),0.5944084325796786,Big Hair Era (1977-1993),60.6,33.495,58.6,Common
anderda02,2026,490,73,12,19,206,331.0,49.0,30.0,5.0,13.0,10,1983,1992,3,759,200,31,5,6,80,120.0,20.0,9.0,3.0,7.0,1988,1984,849.0,0.2635046113306983,0.3333333333333333,0.3412384716732543,0.077733860342556,0.1413427561837456,0.09422850412249706,0.05533596837944664,0.007905138339920948,0.6896551724137931,3.044522437723423,0.03293807641633729,0.2635046113306983,0.3333333333333333,0.3412384716732543,0.077733860342556,0.1413427561837456,0.09422850412249706,0.05533596837944664,0.007905138339920948,0.6896551724137931,3.044522437723423,0.03293807641633729,0.5786109855035881,Dave,Anderson,anderda02,R,Dave Anderson,SS,0.26406120760959473,0.95110068939475,0.08999205718824464,0.09080800593031875,0.15196441808747221,25.9,21.6,47.6,47.4,-0.6999999999999997,1.81,1.05,6.820000000000001,45.1,0,0,45.1,0.35511863914456365,Big Hair Era (1977-1993),0.4793402961043045,Big Hair Era (1977-1993),46.6,34.065,58.8,Common
anthoer01,1999,462,81,8,78,217,491.0,24.0,14.0,5.0,19.0,9,1989,1997,3,988,241,36,5,38,97,206.0,8.0,10.0,3.0,7.0,1993,1993,1095.0,0.24392712550607287,0.31141552511415527,0.4058704453441296,0.16194331983805668,0.18812785388127853,0.08858447488584476,0.07995951417004049,0.038461538461538464,0.4444444444444444,2.1972245773362196,0.013157894736842105,0.24392712550607287,0.31141552511415527,0.4058704453441296,0.16194331983805668,0.18812785388127853,0.08858447488584476,0.07995951417004049,0.038461538461538464,0.4444444444444444,2.1972245773362196,0.013157894736842105,0.4015987530690971,Eric,Anthony,anthoer01,L,Eric Anthony,CF,0.25052155771905427,0.9023333204137839,0.12184139784946238,0.08746081504702194,0.18244514106583073,8.9,52.9,44.0,25.5,-4.799999999999999,-1.6600000000000001,-1.38,-9.520000000000001,30.6,0,0,30.6,0.24483052847521014,Big Hair Era (1977-1993),0.3075341784029282,Big Hair Era (1977-1993),25.6,30.925,57.7,Common
armasto01,5164,1302,204,39,251,260,1201.0,18.0,20.0,15.0,52.0,14,1976,1989,3,1707,461,71,16,100,80,399.0,11.0,7.0,5.0,13.0,1982,1980,1805.0,0.27006444053895723,0.30249307479224374,0.5061511423550088,0.23608670181605154,0.22105263157894736,0.0443213296398892,0.10954891622729936,0.05858230814294083,0.6111111111111112,2.4849066497880004,0.015817223198594025,0.27006444053895723,0.30249307479224374,0.5061511423550088,0.23608670181605154,0.22105263157894736,0.0443213296398892,0.10954891622729936,0.05858230814294083,0.6111111111111112,2.4849066497880004,0.015817223198594025,0.48672267836684424,Tony,Armas,armasto01,R,Tony Armas,CF,0.2690078813166435,0.9689177130142921,0.1574988672405981,0.05314533622559653,0.20997830802603037,32.2,88.1,6.9,5.7,49.6,4.1899999999999995,1.17,46.519999999999996,80.4,0,0,80.4,0.3605649655973712,Big Hair Era (1977-1993),0.38834909499797743,Big Hair Era (1977-1993),35.5,50.105,71.5,Rare
ashbyal01,4123,1010,183,13,90,461,622.0,7.0,10.0,11.0,41.0,17,1973,1989,3,914,251,38,2,34,101,132.0,2.0,1.0,3.0,8.0,1982,1987,1026.0,0.27461706783369805,0.3460038986354776,0.43216630196936545,0.1575492341356674,0.1286549707602339,0.09844054580896686,0.08096280087527352,0.037199124726477024,0.6666666666666666,1.0986122886681098,0.00437636761487965,0.27461706783369805,0.3460038986354776,0.43216630196936545,0.1575492341356674,0.1286549707602339,0.09844054580896686,0.08096280087527352,0.037199124726477024,0.6666666666666666,1.0986122886681098,0.00437636761487965,0.3341327098678819,Alan,Ashby,ashbyal01,B,Alan Ashby,C,0.27144428152492667,0.977693185711386,0.12093352192362093,0.09403669724770643,0.14220183486238533,35.2,52.1,51.1,54.5,12.2,3.42,-3.9800000000000004,21.0,57.7,0,0,57.7,0.1268267886643792,Big Hair Era (1977-1993),0.2198907428968387,Big Hair Era (1977-1993),14.9,42.14,64.6,Uncommon
backmwa01,3245,893,138,19,10,371,480.0,117.0,52.0,5.0,19.0,14,1980,1993,3,1201,355,54,7,2,113,153.0,52.0,24.0,2.0,8.0,1986,1986,1324.0,0.29558701082431305,0.3549848942598187,0.3572023313905079,0.061615320566194835,0.11555891238670694,0.08534743202416918,0.05245628642797669,0.0016652789342214821,0.6842105263157895,3.970291913552122,0.049125728559533725,0.29558701082431305,0.3549848942598187,0.3572023313905079,0.061615320566194835,0.11555891238670694,0.08534743202416918,0.05245628642797669,0.0016652789342214821,0.6842105263157895,3.970291913552122,0.049125728559533725,0.6900074292126105,Wally,Backman,backmwa01,B,Wally Backman,2B,0.2872501514233798,1.0346230691008773,0.07425044091710759,0.08525219298245613,0.13048245614035087,55.2,6.1,41.6,62.9,5.7,1.81,-1.41,10.66,48.5,0,0,48.5,0.24346894686200823,Big Hair Era (1977-1993),0.5517355570492752,Big Hair Era (1977-1993),55.4,39.91,62.6,Uncommon
baergca01,5439,1583,279,17,134,291,580.0,59.0,24.0,73.0,66.0,14,1990,2005,3,1838,580,88,9,56,104,175.0,36.0,8.0,22.0,27.0,1993,1992,1991.0,0.31556039173014144,0.3545956805625314,0.4646354733405876,0.14907508161044614,0.08789552988448016,0.052235057759919636,0.08324265505984767,0.030467899891186073,0.8181818181818182,3.6109179126442243,0.024483133841131665,0.31556039173014144,0.3545956805625314,0.4646354733405876,0.14907508161044614,0.08789552988448016,0.052235057759919636,0.08324265505984767,0.030467899891186073,0.8181818181818182,3.6109179126442243,0.024483133841131665,0.6863218193138542,Carlos,Baerga,baergca01,B,Carlos Baerga,2B,0.30561625874125875,1.10077446441434,0.11295979469632166,0.05881172219991971,0.10437575270975512,78.3,44.2,13.1,81.7,9.6,2.1,6.0,14.16,51.6,0,0,51.6,0.5797796053228763,Big Hair Era (1977-1993),0.5710034769562737,Big Hair Era (1977-1993),57.8,52.915,73.5,Rare
